Year,Total,Male,Female,Native,Asian,Hawaiian_or_PI,Afr_Amer,White,2_or_more,Hispanic,Not_Hispanic,Afr_Amer_not_Hispanic,White_not_Hispanic,18_to_44,18_to_24,25_to_44,45_to_64,45_to_54,55_to_64,65_Plus,65_to_74,75_to_84,85_Plus,Below_HS,HS,Some_college,AA_AS,BA_BS,MA_MS_Plus,Below_100K,100_to_199K,200_to_399K,400_to_599K,600K_Plus,Single_Not_Parent,Single_Parent,Two_Adults,Two_Parent_Family,Other_House,In_US,Outside_US,Disabled,Not_Disabled,Metro,Not_Metro,Insured,Private_Ins,Public_Ins,Uninsured,Straight,Straight_Male,Straight_Female,Gay_Les,Gay_Male,Gay_Female,Bi,Bi_Male,Bi_Female,Married,Unmarried_Couple,Divorced,Widow,Never_married
2008,0.414,0.588,0.519,3.811,1.587,,1.119,0.458,3.81,0.987,0.454,1.135,0.511,0.59,1.145,0.638,0.675,0.928,0.955,0.768,1.043,1.301,1.948,0.971,0.781,0.943,1.279,0.904,1.185,1.119,0.969,0.732,0.954,0.883,0.642,1.589,0.676,0.953,0.83,0.46,0.898,0,0,0.454,1.007,0.515,0.556,0.904,1.217,,,,,,,,,,0.562,1.587,1.003,1.128,0.826
2009,0.372,0.529,0.497,3.948,1.52,9.139,1.006,0.425,3.267,0.853,0.413,1.034,0.477,0.542,1.131,0.61,0.636,0.838,0.88,0.736,0.991,1.254,2.098,0.97,0.719,0.888,1.237,0.856,1.12,0.958,0.828,0.699,0.912,0.817,0.621,1.484,0.662,0.872,0.742,0.41,0.806,0,0,0.409,0.897,0.459,0.503,0.843,1.084,,,,,,,,,,0.511,1.471,0.992,1.245,0.789
2010,0.345,0.494,0.459,4.609,1.383,,0.963,0.383,2.651,0.765,0.379,0.984,0.426,0.505,1.048,0.559,0.586,0.823,0.824,0.7,0.985,1.107,1.582,0.891,0.705,0.854,1.092,0.82,0.966,0.858,0.801,0.644,0.845,0.815,0.583,1.352,0.618,0.813,0.707,0.386,0.77,1.061,0.537,0.382,0.891,0.44,0.493,0.767,1.014,,,,,,,,,,0.475,1.313,0.884,1.102,0.732
2011,0.333,0.483,0.436,2.796,1.211,9.134,0.902,0.372,2.343,0.748,0.371,0.919,0.42,0.465,0.854,0.532,0.567,0.779,0.768,0.619,0.846,1.058,1.581,0.841,0.663,0.805,1.022,0.73,0.953,0.841,0.659,0.615,0.797,0.733,0.538,1.28,0.557,0.774,0.644,0.375,0.691,0.999,0.504,0.36,0.792,0.415,0.461,0.776,0.927,,,,,,,,,,0.47,1.226,0.761,1.015,0.65
2012,0.334,0.479,0.457,3.432,1.252,9.324,0.894,0.369,2.568,0.716,0.367,0.913,0.414,0.472,0.969,0.552,0.568,0.805,0.773,0.625,0.89,0.993,1.605,0.9,0.708,0.838,1.029,0.777,0.932,0.804,0.741,0.596,0.788,0.791,0.551,1.353,0.568,0.817,0.657,0.376,0.705,1.154,0.506,0.372,0.739,0.42,0.466,0.797,0.952,,,,,,,,,,0.471,1.292,0.842,1.074,0.683
2013,0.35,0.488,0.477,3.81,1.258,8.716,0.942,0.391,2.631,0.793,0.382,0.953,0.434,0.491,0.975,0.551,0.605,0.854,0.825,0.661,0.835,1.108,1.977,0.905,0.732,0.924,1.045,0.777,0.935,0.828,0.804,0.647,0.799,0.828,0.539,1.426,0.643,0.788,0.673,0.384,0.771,1.061,0.519,0.388,0.831,0.43,0.486,0.844,0.927,0.358,0.498,2.513,3.889,0.487,3.388,3.719,6.248,4.951,0.486,1.193,0.859,1.087,0.696
2014,0.368,0.531,0.499,3.916,1.354,8.308,0.982,0.411,2.633,0.841,0.404,1.012,0.457,0.541,1.059,0.635,0.588,0.859,0.799,0.663,0.853,1.161,1.751,0.926,0.785,0.864,1.139,0.769,0.966,0.838,0.775,0.75,0.919,0.783,0.556,1.507,0.624,0.841,0.733,0.417,0.734,1.172,0.549,0.407,0.873,0.452,0.496,0.939,0.933,0.378,0.547,3.206,3.526,0.512,4.679,4.099,6.626,4.08,0.514,1.368,0.956,1.104,0.729
2015,0.375,0.549,0.498,3.742,1.384,7.259,1.029,0.413,2.873,0.838,0.419,1.058,0.472,0.569,1.099,0.645,0.62,0.894,0.881,0.615,0.835,1.173,1.764,1.045,0.792,0.915,1.068,0.808,1.014,0.993,0.837,0.719,0.905,0.783,0.629,1.514,0.636,0.88,0.733,0.424,0.792,1.191,0.578,0.41,0.82,0.457,0.515,1.111,0.949,0.387,0.563,2.758,4.121,0.512,3.832,3.698,6.96,5.016,0.521,1.338,0.912,1.097,0.788
2016,0.374,0.548,0.504,3.983,1.55,7.381,1.181,0.402,2.848,1.041,0.392,1.183,0.432,0.602,1.182,0.683,0.608,0.881,0.849,0.627,0.849,1.139,1.417,1.07,0.764,0.943,1.066,0.794,0.932,0.99,0.894,0.692,0.844,0.717,0.578,1.696,0.609,0.873,0.765,0.413,0.861,1.113,0.556,0.401,1.056,0.475,0.514,1.173,1.013,0.381,0.555,2.854,4.024,0.517,3.702,4.234,7.801,4.025,0.5,1.469,0.949,1.158,0.845
2017,0.389,0.565,0.538,3.885,1.674,7.869,1.261,0.418,2.71,1.122,0.421,1.299,0.44,0.565,1.236,0.656,0.705,0.974,0.957,0.617,0.837,1.125,1.641,1.176,0.788,0.933,1.104,0.796,1.03,1.172,0.906,0.742,0.894,0.766,0.573,1.624,0.619,0.933,0.802,0.408,1.017,1.153,0.58,0.432,0.863,0.487,0.53,1.363,1.119,0.396,0.581,2.892,3.532,0.546,3.658,4.486,6.652,4.1,0.546,1.444,0.959,1.143,0.815
